Task,Question,BatchSize,Token_Step,Token_Rank,Token_ID,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j)
infinichat,question_000,2,0,1,818,1.0,1.0,0.0,0.0
infinichat,question_000,2,0,2,96123,3.581747953784742e-10,2.97109392644046e-10,7.646148991735657e-11,2.907157570231078e-10
infinichat,question_000,2,0,3,669,2.1724398668876432e-10,2.4797902620221635e-10,5.1854937010986646e-11,1.8898499432040694e-10
infinichat,question_000,2,0,4,33142,3.775134718719819e-11,2.8991191391991578e-11,7.537212173835961e-12,3.458574399095582e-11
infinichat,question_000,2,0,5,4663,1.783247334519178e-11,1.4151168951925808e-11,3.4275965312552392e-12,1.4473884764332201e-11
infinichat,question_000,2,0,6,3771,8.423464183116014e-12,7.760373073317783e-12,2.165899187431264e-12,8.778856114277644e-12
infinichat,question_000,2,0,7,30340,2.4133626954497833e-12,2.007449761975977e-12,5.43666565759604e-13,1.958827197667823e-12
infinichat,question_000,2,0,8,1509,2.4133626954497833e-12,2.1017621237157114e-12,5.329615871893512e-13,1.958827197667823e-12
infinichat,question_000,2,0,9,2023,1.879528650772233e-12,1.4611945551093464e-12,3.7472133143819086e-13,1.5255362077748469e-12
infinichat,question_000,2,0,10,902,3.266131668507727e-13,2.8692207030417416e-13,7.014419427242569e-14,2.6509843582475656e-13
infinichat,question_000,2,1,1,8379,0.9999542236328125,0.9999418258666992,1.4591243598260917e-05,2.968311309814453e-05
infinichat,question_000,2,1,2,11575,4.539785368251614e-05,5.776615580543876e-05,1.453448294341797e-05,2.9448354325722903e-05
infinichat,question_000,2,1,3,8570,3.0588830668420997e-07,2.273958585874425e-07,5.973318906171698e-08,1.9334925127623137e-07
infinichat,question_000,2,1,4,9513,1.5229284500151152e-08,1.6767675248274827e-08,4.078728910172913e-09,1.5871073344442266e-08
infinichat,question_000,2,1,5,16257,2.0610591011660517e-09,1.5808383491133782e-09,4.14280887373053e-10,1.3028378376134242e-09
infinichat,question_000,2,1,6,38306,7.582213190637788e-10,7.498268672634367e-10,1.83091902750121e-10,7.901743703797592e-10
infinichat,question_000,2,1,7,38940,2.7893404253021004e-10,2.458865888677053e-10,7.543457525294173e-11,2.906938856295227e-10
infinichat,question_000,2,1,8,17410,6.223858928233739e-11,7.400600271489921e-11,2.1533429553355354e-11,6.486448878018081e-11
infinichat,question_000,2,1,9,31811,2.4132523236686243e-12,2.12138141254814e-12,5.621851725465254e-13,1.9586463527454523e-12
infinichat,question_000,2,1,10,25581,2.5435491386727183e-13,2.5047127458037444e-13,6.605730095950516e-14,2.9919925044474827e-13
infinichat,question_000,2,2,1,815,0.9984527826309204,0.9984625577926636,0.0003560928162187338,0.0015797615051269531
infinichat,question_000,2,2,2,236789,0.0015011130599305034,0.0014962161658331752,0.00035243964521214366,0.0015615003649145365
infinichat,question_000,2,2,3,51935,4.5329688873607665e-05,4.069146598340012e-05,7.81814378569834e-06,1.7862150343717076e-05
infinichat,question_000,2,2,4,144607,5.035673211750691e-07,2.996374348640529e-07,7.547721025957799e-08,3.18311862201881e-07
infinichat,question_000,2,2,5,236858,1.8525207678976585e-07,1.560911897513506e-07,3.568571216305827e-08,7.289435899338059e-08
infinichat,question_000,2,2,6,176839,1.1842768543601778e-08,8.101731729937e-09,1.7888196479631802e-09,7.485979836019396e-09
infinichat,question_000,2,2,7,85739,9.223157348969835e-09,6.847304057089332e-09,1.4247544255496791e-09,4.866368641387453e-09
infinichat,question_000,2,2,8,33237,4.356711436059868e-09,2.870773174734609e-09,5.243201983695656e-10,1.3350094363318021e-09
infinichat,question_000,2,2,9,164774,3.3930100951096165e-09,2.5832243011336686e-09,4.684251320163924e-10,1.790237513787929e-09
infinichat,question_000,2,2,10,50180,7.979594762730358e-11,8.193377920573397e-11,1.910953513484248e-11,8.300510279113382e-11
infinichat,question_000,2,3,1,51935,0.9521531462669373,0.9659175872802734,0.007735000923275948,0.01827019453048706
infinichat,question_000,2,3,2,85739,0.04740491136908531,0.03364475071430206,0.007732541766017675,0.018105920404195786
infinichat,question_000,2,3,3,164774,0.000319411774398759,0.00031890562968328595,2.492549901944585e-05,0.00012804839934688061
infinichat,question_000,2,3,4,144607,0.00011750502744689584,0.00011449187877587974,1.3984627003083006e-05,4.7110072046052665e-05
infinichat,question_000,2,3,5,50180,3.5483444662531838e-06,3.0909884571883595e-06,5.049021183367586e-07,2.3630709620192647e-06
infinichat,question_000,2,3,6,33237,7.917426501080627e-07,5.728194878429349e-07,9.136571321732845e-08,3.0239885973060154e-07
infinichat,question_000,2,3,7,139923,6.166098387438979e-07,5.678709271705884e-07,7.353342823535058e-08,3.0239885973060154e-07
infinichat,question_000,2,3,8,176839,1.0715071852018809e-07,8.78540831195096e-08,1.4022082162057359e-08,7.135875534913794e-08
infinichat,question_000,2,3,9,80287,5.0614417546057666e-08,4.133904951686418e-08,5.326482810374955e-09,1.9331700684688258e-08
infinichat,question_000,2,3,10,33112,1.9625336911133218e-09,1.7184229594846556e-09,2.812889920988937e-10,1.306921126875693e-09
infinichat,question_000,2,4,1,89776,1.0,1.0,0.0,0.0
infinichat,question_000,2,4,2,532,1.2501528701136522e-09,1.1483176631799097e-09,2.4668811438033345e-10,1.3028974565898466e-09
infinichat,question_000,2,4,3,176839,3.775134718719819e-11,3.6547036230683005e-11,8.61689799375176e-12,3.93440904855602e-11
infinichat,question_000,2,4,4,171983,2.2897348947448215e-11,2.3905480026065185e-11,4.272980840686058e-12,2.386340257343189e-11
infinichat,question_000,2,4,5,544,2.2897348947448215e-11,1.522016020161221e-11,3.4364967468891727e-12,1.4473884764332201e-11
infinichat,question_000,2,4,6,22094,1.3887944613766301e-11,1.2319499587132299e-11,2.9527513246974113e-12,1.4473884764332201e-11
infinichat,question_000,2,4,7,232479,8.423464183116014e-12,6.1696888917217585e-12,1.5460770684538883e-12,3.3143752499464885e-12
infinichat,question_000,2,4,8,1324,6.914400150527522e-13,5.262870759852045e-13,1.0149584487749094e-13,5.612134021393267e-13
infinichat,question_000,2,4,9,21735,1.5428111533547645e-13,1.2880474952684656e-13,2.2767283392767512e-14,1.0452465173775571e-13
infinichat,question_000,2,4,10,204303,1.5428111533547645e-13,1.3657106587121326e-13,2.7146779155119358e-14,1.814893179317989e-13
infinichat,question_000,2,5,1,18287,1.0,1.0,0.0,0.0
infinichat,question_000,2,5,2,12779,1.903980345736795e-17,1.7877608079286046e-17,5.373423988967959e-18,2.239755951993098e-17
infinichat,question_000,2,5,3,10487,1.5628821837904738e-18,1.3042781239486065e-18,4.1402803991691924e-19,2.0018049997240006e-18
infinichat,question_000,2,5,4,1792,1.5628821837904738e-18,1.3376216710430425e-18,3.742556968005094e-19,1.8385038303743945e-18
infinichat,question_000,2,5,5,2926,7.382532683308073e-19,6.482974801132421e-19,2.2458775641548426e-19,8.684477227351091e-19
infinichat,question_000,2,5,6,1718,5.749522023787777e-19,4.442401914049592e-19,1.409777876646962e-19,7.364228727315923e-19
infinichat,question_000,2,5,7,21382,4.47773234897538e-19,3.87439017060044e-19,1.1735053668985536e-19,5.267401354724894e-19
infinichat,question_000,2,5,8,5444,3.4872613721194976e-19,2.7349331086782177e-19,8.08345128393827e-20,4.46663003419127e-19
infinichat,question_000,2,5,9,10796,2.7158818467014143e-19,2.5366155228428636e-19,8.274630171840321e-20,3.1948403593788726e-19
infinichat,question_000,2,5,10,21068,2.1151310700892382e-19,2.079519781496094e-19,5.523745402036901e-20,2.2043696410169317e-19
infinichat,question_000,2,6,1,7299,0.9959021210670471,0.9953365921974182,0.001301303505897522,0.004238009452819824
infinichat,question_000,2,6,2,4532,0.004070024471729994,0.004624056164175272,0.0012982318876311183,0.004220110364258289
infinichat,question_000,2,6,3,7109,2.7423609935794957e-05,3.878330608131364e-05,8.518600225215778e-06,1.7861691958387382e-05
infinichat,question_000,2,6,4,21666,3.046487790925312e-07,4.102348043488746e-07,1.0574128594953436e-07,3.1750198559166165e-07
infinichat,question_000,2,6,5,61269,5.2940020367486795e-08,7.710184490861138e-08,1.8324339379205412e-08,7.077613872752408e-08
infinichat,question_000,2,6,6,16236,1.1812514522091533e-08,1.671159566285496e-08,3.80678200073703e-09,1.5726884683431308e-08
infinichat,question_000,2,6,7,236743,9.19959575185203e-09,1.0502778202692298e-08,2.359314965616477e-09,9.578512205621337e-09
infinichat,question_000,2,6,8,4180,4.345581672282606e-09,6.789514284122333e-09,1.3729298808939916e-09,4.85384887838336e-09
infinichat,question_000,2,6,9,506,4.345581672282606e-09,5.70463587479253e-09,1.1849157210974681e-09,5.790863344401487e-09
infinichat,question_000,2,6,10,28067,3.384342139867158e-09,4.2892129847871274e-09,8.752245039822526e-10,2.9440081483755876e-09
infinichat,question_000,2,7,1,528,0.7310575246810913,0.7058408856391907,0.055816374719142914,0.1951150894165039
infinichat,question_000,2,7,2,236764,0.26894107460975647,0.2941579222679138,0.05581636354327202,0.19511501491069794
infinichat,question_000,2,7,3,580,1.0022499736805912e-06,8.161956088770239e-07,1.6951881320892426e-07,4.846575620831572e-07
infinichat,question_000,2,7,4,3418,1.3563979450736952e-07,1.438104106910032e-07,4.018285792994902e-08,1.4136243464690779e-07
infinichat,question_000,2,7,5,1024,1.3563979450736952e-07,1.2544032301775587e-07,3.2176075137613225e-08,1.4136242043605307e-07
infinichat,question_000,2,7,6,657,4.095966676942453e-09,3.0598750200283575e-09,7.137735957840619e-10,1.980685615521338e-09
infinichat,question_000,2,7,7,2351,5.543287495690663e-10,4.802965247741042e-10,1.0853382081954521e-10,5.777162082054588e-10
infinichat,question_000,2,7,8,684,1.0152886344150236e-11,1.1472249365762632e-11,2.3750341970885103e-12,8.832197993802193e-12
infinichat,question_000,2,7,9,607,7.907076035595928e-12,5.8915199108167116e-12,1.4245720488664793e-12,4.909629994220843e-12
infinichat,question_000,2,7,10,531,6.158036754133622e-12,5.296266029908292e-12,1.2958826720033123e-12,5.464473491756383e-12
infinichat,question_000,2,8,1,496,0.4073909521102905,0.479794442653656,0.057262521237134933,0.16603347659111023
infinichat,question_000,2,8,2,4861,0.4073909521102905,0.34868499636650085,0.04569855332374573,0.1418139934539795
infinichat,question_000,2,8,3,27725,0.14987076818943024,0.14330729842185974,0.02904740907251835,0.12726694345474243
infinichat,question_000,2,8,4,35995,0.020282799378037453,0.014113814570009708,0.0028689855244010687,0.010490531101822853
infinichat,question_000,2,8,5,33703,0.012302140705287457,0.011500830762088299,0.0021620977204293013,0.010313318111002445
infinichat,question_000,2,8,6,614,0.002744978526607156,0.0025854783598333597,0.0004412569396663457,0.001570236636325717
infinichat,question_000,2,8,7,506,6.804121312597999e-06,4.6943350753281265e-06,1.0201985105595668e-06,4.722574431070825e-06
infinichat,question_000,2,8,8,21666,4.12690815210226e-06,3.0956530281400774e-06,5.470314476951899e-07,2.1989087599649793e-06
infinichat,question_000,2,8,9,61225,1.9494136722641997e-06,1.6508334965692484e-06,2.5828541083683376e-07,1.0728181223385036e-06
infinichat,question_000,2,8,10,85739,1.9494136722641997e-06,1.6205387964873808e-06,2.219427983618516e-07,1.0728181223385036e-06
infinichat,question_000,2,9,1,51780,0.985420286655426,0.9787753224372864,0.004758846014738083,0.017797887325286865
